sumber,tanggal,teks_bersih,urgensi,sentimen,kategori_infrastruktur,kategori_lingkungan,kategori_air_sanitasi,kategori_bencana,kategori_transportasi,kategori_pelayanan_publik,kategori_ekonomi,kategori_keamanan,kategori_pendidikan,kategori_kesehatan
berita_kaggle,2026-03-26,kepala dinas kesehatan kota bandung sony adam mengatakan jumlah dapur makanan bergizi gratis atau mbg tercatat 98 unit sebanyak 87 dapur diantaranya yang beroperasi setiap hari sedang dalam proses sertifikasi layak higienis menurut sony dinas kesehatan kota bandung melakukan pendampingan pada seluruh dapur pengelola sejak awal program mbg berjalan pendampingan,0,1,0,0,0,0,0,0,0,0,0,1
berita_kaggle,2026-03-26,tempo co jakarta sekretaris jenderal association of the indonesian tours and travel agencies asita budijanto ardiansjah berpendapat pemecahan kementerian pariwisata dan ekonomi kreatif kemenparekraf sudah sesuai aspirasi pelaku wisata ia mengatakan sejak lama berharap nomenklatur kementerian tersebut fokus pada aspek pariwisata permintaan kita memang kementerian itu nomenklaturnya hanya satu jadi,0,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,pemudik yang berangkat dari terminal kalideres jakarta barat jumlahnya menembus hampir 3 ribu orang data per pukul 22 00 wib tercatat 2 889 pemudik yang berangkat hari ini per pukul 22 00 wib penumpang yang berangkat mudik dari terminal kalideres mencapai 2 889 orang kata kepala terminal kalideres revi zulkarnaen,0,1,0,0,0,0,1,0,0,0,0,0
twitter,2026-03-26,anjay kampung gua wkwkwk tapi itu emg tempat gua ngebolang jaman msh pake kaos kutang si wkwk banyak temen disana sejak ada spge itu udh mulai jrg lewat karna pernah ngebatin serem ah lewat sini pdhl pas dulu msh kebonsawah berani aje gua lewat situ dgn jalan rusak jg gas,1,0,1,0,0,0,0,0,0,0,0,0
twitter,2026-03-25,mas cep tapi selama ini karyawan berdasarkan pkwt nggak dikasih pesangon kok kuncinya di alasan alasannya tidak harus di antara sekitar 26 yang diatur dalam pp 35 bisa saja tanpa alasan itu misalnya sesederhana perusahaan pengen mengakhiri sebelum jangka waktu saja phk,1,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,11 sentimeter per tahun pemerintah jakarta berusaha menahan laju penurunan permukaan tanah dengan menyediakan cakupan air bersih pencegahan pemakaian air tanah merupakan efektif menahan penurunan muka tanah empat tahun lalu dikky takiyuddin 24 tahun harus merogoh kocek rp 700 750 ribu per bulan untuk memenuhi kebutuhan air bersih sehari hari,1,1,0,0,1,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,badan penanggulangan bencana daerah bpbd jakarta mencatat sebanyak 41 rukun tangga rt di jakarta masih terendam banjir hingga senin 3 3 2025 sekitar pukul 17 00 wib kepala pusat data dan informasi bpbd jakarta mohamad yohan mengungkapkan ketinggian air tercatat 40 sentimeter hingga 190 sentimeter bpbd mencatat saat ini genangan,2,1,0,1,0,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,calon hakim ad hoc hak asasi manusia ham mahkamah agung agus budianto menilai kurangnya pemahaman kepolisian terhadap ham menjadi salah satu penghambat penegakannya padahal berdasarkan undang undang nomor 26 tahun 2000 tentang pengadilan hak asasi manusia polisi juga berperan menjadi penyidik dalam perkara pelanggaran ham ini disampaikan agus dalam uji,0,1,0,0,0,0,0,0,0,1,0,0
twitter,2026-04-01,idiotslayer nnti pas mati kuburannya bau sampah,1,0,0,1,0,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,sebanyak 17 kendaraan terjaring penertiban parkir liar di bahu jalan mayjen sutoyo cawang kramat jati jakarta timur belasan kendaraan itu terdiri dari 12 mobil dan lima sepeda motor kurang lebih 12 kendaraan roda empat berhasil kita bap kita kerja sama dengan kepolisian sementara roda dua ada lima unit kata kepala,1,2,0,0,0,0,1,0,0,0,0,0
berita_kaggle,2026-03-26,pt permodalan nasional madani pnm kembali menunjukkan komitmennya dalam memberdayakan pelaku usaha mikro kecil dan menengah umkm dengan cara yang inovatif tak hanya memberikan modal finansial pnm juga menghadirkan modal intelektual melalui pendampingan usaha dan modal sosial dengan membuka akses ke panggung kreatif nasional salah satu bentuk nyata komitmen tersebut,0,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,korban kebakaran kapuk muara penjaringan jakarta utara mengaku kesulitan menggunakan toilet portabel cuma banyak orang yang enggak mengerti cara gunainnya karena ini wc umum yang diinjak flush airnya ucap salah satu korban kebakaran bernama sumarni 64 sumarni mengaku bahwa di usianya yang sudah tak lagi muda ia tak terbiasa menggunakan,2,1,0,0,1,0,0,0,0,0,0,0
twitter,2026-03-31,focacciabret goblokkkkkk goblok bagi lu bau bukan berarti bagi orang ga bau yaaa fefekkkk ketek lu bau sampah,1,0,0,1,0,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,pemerintah kota jakarta selatan berencana membangun jalan inspeksi di bantaran kali krukut kemang sebagai bagian dari upaya jangka panjang pengendalian banjir kami tentu ingin area kiri dan kanan kali bisa dibangun jalan inspeksi namun hal ini perlu koordinasi lanjutan termasuk dengan pemerintah pusat dan sosialisasi kepada warga ujar wali kota,1,1,0,1,0,0,0,0,0,0,0,0
twitter,2026-03-25,menteri pekerja ri iya kak semangat ya hak kalo pkwtt resign dan di beda soalnya jadi sebelum ambil keputusan baiknya sudah dipertimbangkan phk,0,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,kompas com pt pertamina persero berkomitmen untuk terus mengembangkan pemanfaatan energi terbarukan komitmen ini bertujuan untuk mendukung kemandirian energi dan ekonomi komitmen tersebut diwujudkan melalui salah satu program dukungan swasembada energi berbasis desa lewat program ini pertamina berinovasi dengan memanfaatkan energi baru terbarukan ebt untuk pertanian dan ekowisata berkelanjutan bernama,0,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,petugas pemadam kebakaran damkar kabupaten bogor jawa barat menyesalkan adanya laporan palsu atau prank evakuasi ular ternyata menagih hutang petugas damkar berharap prank ini tidak terulang kita sih menyesalkan juga ya kalau kita kan pada dasarnya apa pun laporannya kita tindaklanjuti kejadiannya nyata atau laporan palsu itu kan setelah kita,2,1,0,0,0,1,0,0,0,0,0,0
berita_kaggle,2026-03-26,menteri koordinator bidang pemberdayaan masyarakat menko pm muhaimin iskandar menuturkan pemerintah menggelontorkan anggaran untuk bantuan sosial bansos sebesar rp 500 triliun per tahun dalam agenda talkshow perintis berdaya muhaimin menuturkan anggaran tersebut harus dibenahi agar pemberiannya tepat sasaran sesuai kebutuhan masyarakat kira kira itu rp 500 triliun bukan barang kecil,1,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,tempo co jakarta provinsi bengkulu diguncang gempa 6 3 magnitudo pada jumat 23 mei 2025 dikutip dari antara badan meteorologi klimatologi dan geofisika bmkg memastikan gempa tersebut bukan dari zona gempa megathrust tapi berasal dari zona intraslab kedalaman 84 kilometer dan tidak berpotensi memicu tsunami karakter gempa intraslab ini memiliki,2,1,0,0,0,1,0,0,0,0,0,0
berita_kaggle,2026-03-26,tempo co jakarta komisi pemberantasan korupsi kpk menjadwalkan pemeriksaan terhadap legal corporate pt nutech integrasi euis aprilia nurrachman ean juru bicara kpk tessa mahardhika sugiarto mengatakan penyidik memeriksa ean sebagai saksi dalam kasus dugaan tindak pidana korupsi proyek digitalisasi stasiun pengisian bahan bakar umum spbu pt pertamina persero periode 2018,0,0,0,0,0,0,1,0,0,0,0,0
berita_kaggle,2026-03-26,direktur utama kereta api indonesia kai commuter line asdo artriviyanto mengungkapkan stasiun karet akan berubah menjadi ruang publik setelah diintegrasikan dengan stasiun bni city termasuk di situ akan dibuatkan tenant tenant yang bagus konsepnya sudah ada jadi teman teman pelanggan bisa menikmati wilayah stasiun karet ini menjadi pedestrian dan area,0,2,0,0,0,0,1,0,0,0,0,0
berita_kaggle,2026-03-26,pengamat transportasi djoko setijowarno menyarankan pemprov jakarta menaikkan tarif transjakarta dibandingkan menghapus koridor 1 blok m kota kalau memang merasa beban transjakarta itu tarifnya harus naik ujar djoko setijowarno saat diwawancarai kompas com senin 24 12 2024 djoko mengatakan transjakarta bisa menaikkan tarif seperti sebelum 2010 saat itu rute transjakarta,1,1,0,0,0,0,1,0,0,0,0,0
berita_kaggle,2026-03-26,polda riau mengambil langkah proaktif dalam upaya pencegahan kebakaran hutan dan lahan karhutla upaya tersebut dilakukan melalui pendekatan budaya dan kearifan lokal melalui festival kreatif budaya melayu polda riau mengajak masyarakat untuk lebih peduli terhadap lingkungan festival ini digelar di rumah singgah tuan kadi pekanbaru sabtu 19 4 2025 malam,2,2,0,0,0,1,0,0,0,0,0,0
berita_kaggle,2026-03-26,kementerian luar negeri kemenlu mengungkapkan belum ada laporan warga negara indonesia wni menjadi korban dalam gempa bumi berkekuatan 7 4 magnitudo di filipina jumat 10 10 2025 direktur perlindungan warga negara indonesia kemenlu judha nugraha mengatakan kemenlu melalui konsulat jenderal republik indonesia di davao city telah berkoordinasi dengan komunitas wni,2,1,0,0,0,1,0,0,0,0,0,0
berita_kaggle,2026-03-26,gempa tektonik berkekuatan magnitudo m 2 6 mengguncang kabupaten bekasi jawa barat pada senin 14 7 2025 pukul 18 39 wib seorang warga cikarang utara erna susilawati 46 mengaku merasakan getaran akibat gempa di wilayah tempat tinggalnya merasakan sedikit kayak goyang dikit banget kata erna saat dikonfirmasi senin erna menuturkan,2,1,0,0,0,1,0,0,0,0,0,0
twitter,2026-03-25,angel mas mabuti pang maging delulu sa mga sikat kaysa mafall sa tao maling,0,1,0,0,0,0,0,0,0,1,0,0
berita_kaggle,2026-03-26,rumah sakit rs polri kramat jati jakarta timur bakal menyerahkan jenazah osima yukari 29 korban kebakaran glodok plaza sabtu 25 1 2025 malam ini akan menjadi penyerahan jenazah ketiga dari korban kebakaran glodok plaza setelah mendiang aulia belinda 28 dan zukhi fitria rahdja 42 yang satu akan diserahkan nanti malam,2,1,0,0,0,0,0,0,0,0,0,1
berita_kaggle,2026-03-26,badan penanggulangan bencana daerah bpbd dki jakarta melakukan operasi modifikasi cuaca omc dengan menebar garam nacl di langit jakarta untuk mereduksi risiko bencana akibat cuaca ekstrem omc ini didukung oleh tni angkatan udara yang mengerahkan pesawat cassa 212 200 yang berbeda pada pelaksanaan omc kali ini kami didukung oleh tni,2,1,0,0,0,1,0,0,0,0,0,0
berita_kaggle,2026-03-26,insiden longsor terjadi di tambang bawah tanah grasberg block cave milik pt freeport indonesia di papua tenga pada 8 september 2025 sebanyak tujuh pekerja masih terjebak dan belum ditemukan oleh tim penyelamat terjebak di tambang bawah tanah kronologi kejadian upaya penyelamatantim tanggap darurat pt freeport indonesia dibantu oleh kementerian energi,2,2,0,0,0,1,0,0,0,0,0,0
berita_kaggle,2026-03-26,ketua dewan perwakilan rakyat dpr ri puan maharani berjanji lembaga yang dipimpinnya akan berbenah lebih mendengarkan aspirasi masyarakat hal itu disampaikan puan usai melayat ke rumah duka affan kurniawan pengemudi ojek online ojol yang meninggal dunia karena dilindas kendaraan taktis rantis brimob saat pembubaran demonstrasi di penjompongan jakarta pusat pada,2,1,0,0,0,0,1,0,0,0,0,0
berita_kaggle,2026-03-26,wakil menteri komunikasi dan digital wamenkomdigi nezar patria optimistis indonesia akan menjadi motor utama pertumbuhan ekonomi digital di kawasan asian tenggara asean bahkan ia memproyeksikan indonesia berpotensi menyumbang hingga 40 persen pertumbuhan ekonomi digital asean pada 2030 saya kira kita menyumbang mungkin 40 persen dari pertumbuhan ekonomi digital di asean,0,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,pemerintah kota depok akan membantu memperbaiki ratusan rumah yang mengalami kerusakan akibat angin peting beliung yang melanda pada sabtu 7 6 2025 hal ini disampaikan langsung oleh wali kota depok supian suri setelah meninjau salah satu rumah warga rt 01 rw 02 kelurahan cilangkap tapos depok yang turut terdampak bencana,2,1,0,0,0,0,0,1,0,0,0,0
berita_kaggle,2026-03-26,sejumlah warga menyiasati kenaikan harga makanan imbas kenaikan pajak pertambahan nilai ppn menjadi 12 persen warga mulai mempertimbangkan perubahan dalam kebiasaan konsumsi mereka salah satunya adalah shabrina zakaria 28 yang biasanya membeli makanan dari warung atau rumah makan karena lebih praktis selama sebulan shabrina menghabiskan sekitar rp 3 5 juta,0,1,0,0,0,0,0,0,1,0,0,0
twitter,2026-03-25,immono1 wareg itu gin minta atau aku maling maling,1,1,0,0,0,0,0,0,0,1,0,0
twitter,2026-03-25,andmh asn pns aph mending ditata ulang rombak total di grading kaya benih lele kiloan grade 1 kasih tunjangan besar masuk 5 hari kasih fasilitas grade 2 masuk 3 hari saja gak dikasih jabatan dan fasilitas grade 3 dirumahkan diberi gaji pokok sampai pensiun gak perlu phk,1,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,hari termasuk air minum ia juga mengenalkan teknologi elektrolisis air teknologi pemanenan air hujan sudah dicoba oleh sejumlah lembaga kotak kotak berbahan plastik berisi air hujan diletakkan berderet di atas meja panjang di teras samping rumah sri wahyuningsih pendiri komunitas banyu bening di dusun blekik desa sardonoharjo kecamatan ngaglik kabupaten,0,1,0,0,1,0,0,1,0,0,0,0
berita_kaggle,2026-03-26,kementerian lingkungan hidup memberi peringatan terhadap 21 pabrik yang membuang limbah industri ke kali cipinang di depo jawa barat menteri lingkungan hidup hanif faisol nurofiq memberi tenggat waktu sebulan bagi puluhan entitas itu untuk mengelola limbah masing masing nanti kalau tidak nurut mematuhi biar kami tegakkan aturan katanya ketika mengunjungi,0,1,0,1,0,0,0,0,0,0,0,0
berita_kaggle,2024-11-11,sistem pertahanan nasional di masa mendatang kemungkinan besar tidak lagi hanya menjadi urusan militer ancaman yang terus berubah membuat peran sipil kini semakin esensial dalam menjaga keamanan negara di tengah situasi ini menteri pertahanan sjafrie sjamsoeddin hendak membentuk dewan pertahanan nasional dpn tujuannya sebagai upaya menciptakan kolaborasi erat antara sipil,0,1,0,0,0,0,0,0,0,1,0,0
berita_kaggle,2026-03-26,korlantas polri akan memberlakukan pembatasan operasional bagi kendaraan berat dalam rangka mengurangi kepadatan lalu lintas saat mudik lebaran 2025 truk dengan sumbu tiga atau lebih dilarang melintas di jalan arteri dan tol mulai 24 maret 2025 khususnya di ruas trans jawa pembatasan kendaraan sumbu dua dan tiga berlaku mulai 24,0,1,1,0,0,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,dosen dan peneliti universitas islam indonesia uii listya endang artiani memandang tren masyarakat yang ramai ramai membeli emas kendati harganya naik bukanlah fenomena biasa menurut listya negara harus membaca sinyal pasar bukan sebagai sekadar gejala ekonomi sebab fenomena ini mengindikasikan adanya ekpektasi negatif terhadap perekonomian tanah air fenomena borong emas,1,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2025-04-23,kementerian kesehatan kemenkes meminta masyarakat tetap mewaspadai penyakit demam berdarah dengue dbd sebab penyakit tersebut selalu ada sepanjang tahun meskipun peningkatan kasus dbd pada 2025 baru terlihat terjadi di sejumlah wilayah pola penyakit dengue atau dbd ini ada sepanjang tahun dan kita perlu mewaspadai sepanjang tahun kata ketua tim kerja,1,1,0,0,0,0,0,0,0,0,0,1
berita_kaggle,2026-03-26,pemerintah provinsi pemprov dki jakarta melalui dinas pendidikan siap menyelenggarakan penerimaan murid baru pmb tahun ajaran 2025 2026 pmb menggantikan sistem sebelumnya yang dikenal sebagai penerimaan peserta didik baru ppdb dengan sejumlah pembaruan di sisi tata kelola transparansi dan aksesibilitas proses seleksi akan dilaksanakan dengan prinsip objektivitas transparansi akuntabilitas keadilan,0,1,0,0,0,0,0,0,0,0,1,0
twitter,2026-03-25,border bogor pungli,0,0,0,0,0,0,0,1,0,0,0,0
twitter,2026-03-26,selama ini aku pikir jalan berlubang cuma masalah motor hari ini aku jalan kaki dan kesleo karena mar 29,1,1,1,0,0,0,0,0,0,0,0,0
twitter,2026-03-26,kalau masih terjadi seperti ini jalan rusak bertahun2 tidak diperbaiki karena mungkin daerahnya tidak ada potensi penghasilan buat daerah maka masih belum bisa dikatakan pembangunan yang berkeadilan mar 30,1,0,1,0,0,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,pt pertamina persero berkomitmen memajukan usaha mikro kecil dan menengah umkm indonesia agar mampu bersaing di tingkat global melalui program pertapreneur pertamina entrepreneur aggregator pertamina berhasil mewujudkan umkm indonesia ke tingkat internasional dengan menghadirkan dukungan teknis manajerial sekaligus membuka akses pasar bagi 300 umkm potensial sejak program ini diluncurkan pada,0,2,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,viral di media sosial seorang ibu hamil nyaris melahirkan di stasiun parung panjang kabupaten bogor sang ibu kemudian dilarikan dalam keadaan darurat ke puskesmas setempat dalam rekaman video viral dilihat detikcom tampak seorang wanita berbaju oranye duduk di kursi roda di sampingnya beberapa petugas stasiun berdiri mendampingi wanita yang duduk,2,1,0,0,0,0,1,0,0,0,0,1
berita_kaggle,2024-11-01,rumah sakit polri rs polri kramat jati menerima 12 kantong jenazah korban kebakaran di pabrik pakan ternak di medan satria kota bekasi kantong jenazah itu berisi potong potongan tubuh korban kebakaran kata kepala rs polri brigjen pol prima heru yulihartono di rs polri kramat jati jakarta timur jumat 1 11,2,1,0,0,0,0,0,0,0,0,0,1
berita_kaggle,2025-09-14,lembaga tersebut menilai keraguan legislatif justru berpotensi merugikan publik direktur jakarta institute agung nugroho mengatakan air bersih adalah hak dasar warga tanpa terobosan pendanaan target 100 persen akses air bersih di jakarta akan sulit tercapai ipo bukan privatisasi pemprov dki jakarta tetap bisa menjadi pemegang saham mayoritas bahkan memiliki hak,1,0,0,0,1,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,presiden prabowo subianto mengungkapkan bahwa indonesia kekurangan 70 000 dokter spesialis sedangkan setiap tahunnya hanya ada tambahan 2 700 orang dokter spesialis hal ini disampaikan prabowo saat meresmikan gedung layanan terpadu dan institut neurosains nasional rspon dr mahar mardjono di cawang jakarta timur selasa 26 8 2025 hari ini saya,0,1,0,0,0,0,0,0,0,0,0,1
berita_kaggle,2026-03-26,polemik penertiban pedagang di jalan merdeka kecamatan bogor tengah masih berlanjut meski pemerintah kota pemkot bogor telah membongkar 43 kios pada kamis 12 12 2024 pembongkaran dilakukan karena kios kios tersebut berdiri tanpa izin dan dinilai memicu kemacetan serta kekumuhan meski demikian sejumlah pedagang tetap menolak untuk direlokasi ke pasar,0,1,0,0,0,0,1,1,1,0,0,0
berita_kaggle,2026-03-26,seorang wanita berinisial ds 30 ditemukan tewas bersama suaminya ym 36 di kamar kontrakan di kampung jati warung kobak rt 01 rw 01 desa pasirgombong cikarang utara kabupaten bekasi kasat reskrim polres metro bekasi kompol onkoseno grandiarso sukahar mengungkapkan bahwa hasil otopsi menunjukkan adanya bekas kekerasan di leher korban dari,2,1,0,0,0,0,0,0,0,1,0,0
berita_kaggle,2026-03-26,presiden konfederasi serikat pekerja indonesia kspi said iqbal mengungkapkan kisah pilu buruh yang mengalami pemutusan hubungan kerja phk tanpa pesangon hingga menyebabkan tujuh orang meninggal dunia karena stres berat hal ini disampaikan dalam acara penyerahan penghargaan dari organisasi buruh dunia atau international trade union congress ituc untuk kapolri jenderal listyo,2,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,eskalator di halte transjakarta cipulir koridor xiii jakarta selatan yang terletak di atas pasarjaya pasar cipulir dan itc cipulir mas banyak dikeluhkan karena tidak berfungsi salah satu penumpang transjakarta bernama winarto 60 mengatakan eskalator yang menghubungkan jembatan penyeberangan orang jpo dengan halte itu sudah mati sejak dua bulan lalu iya,1,1,1,0,0,0,1,0,1,0,0,0
twitter,2026-03-25,aten ini dimana mana macet,1,1,0,0,0,0,1,0,0,0,0,0
twitter,2026-04-03,artifisal life kemiskinan jalan rusak jawabannya mbge sekolah rusak,1,0,1,0,0,0,0,0,1,0,1,0
berita_kaggle,2026-03-26,korban kebakaran di penjaringan jakarta utara membutuhkan bantuan makanan dan air bersih usai rumah mereka dilahap si jago merah kami butuh bantuan makan sembako sembako air karena kan untuk mandi tidak ada ujar salah seorang warga siswoyo 62 kepada kompas com di lokasi sabtu 7 6 2025 selain itu warga,1,0,0,0,1,0,0,0,1,0,0,0
twitter,2026-03-25,rhytien aroma yang gua hirup ketika jalan pagi bau indomie bau rumput bau sampah,1,0,0,1,0,0,0,0,0,0,0,0
twitter,2026-03-25,vivu aduh makin pasti macet,1,1,0,0,0,0,1,0,0,0,0,0
twitter,2026-04-01,alaia 1 petugas kebersihan 2 guru sumpah orang orang yang gw bnr bnr appreciate bgtt kalo sampah dimana2 ga kebayang gw gabisa napasss demi allahhh gw gakuat bau sampah,1,0,0,1,0,0,0,0,0,0,1,0
berita_kaggle,2026-03-26,kanit gakum satlantas polres tangerang selatan tangsel ipda marulloh menyebut tidak ada korban jiwa dalam kecelakaan yang melibatkan mobil sedan bmw dan suzuki carry pikap di tol serbaraja atau jalan tol serpong balaraja sampora cisauk kabupaten tangerang minggu 1 12 2024 dia mengatakan empat orang yang terlibat tersebut selamat namun,2,0,1,0,0,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,pemerintah kembali menyalurkan bantuan sosial atau bansos pada agustus 2025 bantuan diberikan kepada keluarga penerima manfaat kpm yang tercantum dalam data tunggal sosial dan ekonomi nasional dtsen yang dulu dikenal sebagai data terpadu kesejahteraan sosial dtks berikut beberapa di antaranya pencairan bansos pkh oleh kementerian sosial kemensos telah memasuki tahap,0,1,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,pembangkit listrik tenaga surya plts untuk irigasi lahan pertanian di desa tanjung agung muara enim sumatera selatan menjadi kado hari ulang tahun hut ke 79 kemerdekaan republik indonesia untuk para petani peresmian plts irigasi tersebut dilakukan oleh hengky putrawan pj bupati muara enim dan suherman direktur sumber daya manusia sdm,0,1,0,0,1,0,0,0,0,0,0,0
twitter,2026-03-26,setir mobil anda bunyi gluduk tiap jalan rusak jangan anggap sepele boskuh ini dia penyebabnya rack end atau long tie rod oblak mar 30,1,0,1,0,0,0,0,0,0,0,0,0
